app_code,os_version,is_4G,hour,day_of_week
283,0,1,19,0
88,1,0,9,3
405,2,0,23,6
177,0,0,16,5
88,2,0,13,1
27,1,1,17,4
148,1,0,18,5
267,1,0,10,1
107,1,1,19,3
283,2,0,19,3
319,1,0,19,5
397,1,1,19,1
370,1,0,19,3
283,0,0,19,6
216,1,0,0,0
88,2,1,12,5
107,1,0,20,3
145,1,1,0,5
283,0,1,23,5
267,1,1,0,1
283,0,1,17,5
380,1,0,23,4
126,1,0,23,3
107,2,0,16,0
29,0,0,16,5
397,0,0,16,5
451,2,1,19,5
102,2,0,8,6
107,1,0,19,0
282,2,0,15,2
195,2,1,6,3
217,1,1,19,0
107,2,1,10,4
88,2,1,20,2
107,1,1,17,5
195,1,1,15,0
406,1,0,0,4
407,1,0,17,0
177,0,0,12,1
195,1,1,11,6
282,1,1,0,3
283,1,0,16,0
107,2,0,13,4
29,2,1,21,3
45,2,0,14,5
139,1,1,21,3
107,0,1,15,6
283,1,0,20,6
283,1,0,13,4
216,1,1,10,0
195,2,1,19,4
283,1,1,20,6
145,1,1,16,3
195,1,1,19,6
191,1,0,20,5
154,1,0,17,3
29,1,0,15,6
139,1,0,19,4
337,1,1,11,3
267,1,1,17,4
283,1,0,23,3
283,1,1,19,1
387,1,1,1,4
107,1,0,15,1
88,0,1,15,0
88,1,1,1,1
370,1,0,7,4
88,1,1,11,2
283,2,0,20,2
267,2,1,1,1
107,1,0,9,3
88,1,0,19,1
283,0,1,16,5
365,1,0,15,5
361,1,1,23,2
359,1,0,17,1
88,0,0,0,4
29,1,0,23,1
283,1,1,13,2
27,1,1,21,3
145,2,0,14,6
290,1,1,14,3
29,2,0,3,3
195,2,1,14,4
365,2,0,15,1
283,2,0,16,6
191,1,0,20,5
406,1,0,11,3
88,1,1,8,1
283,0,0,22,5
107,1,1,9,0
139,1,0,0,1
283,1,1,0,6
195,1,1,0,6
88,0,1,0,3
307,1,1,19,1
195,2,1,13,4
88,2,1,11,1
341,0,0,20,3
107,0,1,9,3
283,1,0,20,0
37,0,1,16,0
88,1,0,2,4
107,1,1,19,6
283,1,1,19,1
312,1,1,19,1
282,1,0,13,6
111,1,0,0,1
195,1,1,12,3
111,1,1,1,0
359,1,0,17,5
283,0,0,22,3
27,2,0,20,5
139,1,1,13,0
359,2,0,14,0
107,1,0,9,3
137,1,0,22,6
195,1,1,13,3
88,0,0,18,1
45,2,0,14,0
27,1,0,13,6
107,2,0,9,1
282,0,1,0,0
283,1,1,11,5
283,0,0,19,6
253,1,0,11,3
107,2,1,16,4
282,1,1,10,1
398,1,1,7,1
370,2,0,14,5
88,1,1,15,1
267,1,0,23,3
107,0,0,23,1
195,1,1,16,5
126,1,1,16,5
88,0,0,0,5
283,0,0,18,4
107,2,0,13,3
49,1,1,0,5
88,2,0,22,1
336,1,1,7,1
267,1,0,22,3
289,0,0,9,4
282,1,0,21,6
365,1,0,18,4
107,2,1,17,6
397,1,1,21,1
210,1,0,22,3
27,2,0,21,2
365,0,0,0,2
107,1,1,11,4
282,1,0,14,1
195,1,0,0,3
107,1,1,15,6
365,1,0,17,4
283,1,1,23,4
27,1,1,18,1
88,1,0,22,3
107,1,0,10,6
107,1,0,17,1
397,1,1,18,3
191,2,1,7,2
93,1,0,13,4
429,0,1,9,5
107,0,0,14,3
169,1,0,22,4
107,1,1,1,2
365,2,0,2,1
287,0,0,17,4
267,1,0,20,1
267,1,1,0,0
267,0,1,9,2
191,0,0,10,6
107,1,0,9,2
397,1,0,20,2
282,2,0,21,1
88,2,0,17,4
107,2,0,12,1
107,1,1,13,5
429,2,0,22,2
397,1,0,20,3
265,1,0,11,0
137,0,1,0,0
27,2,0,17,3
365,2,0,20,5
27,1,0,23,4
195,1,0,0,6
282,0,1,0,5
267,0,0,8,1
107,1,1,21,0
283,1,1,8,0
283,0,1,20,5
283,1,0,23,1
283,1,0,0,1
380,1,0,20,6
361,2,0,2,6
45,2,0,7,2
61,1,0,18,1
107,1,0,9,2
107,1,0,22,0
195,2,0,11,4
283,1,1,21,5
265,1,0,10,2
191,0,1,11,2
61,1,0,17,5
107,1,1,15,2
337,1,1,17,4
143,1,0,1,1
102,0,0,20,0
27,1,1,0,4
429,1,0,12,3
27,1,1,12,1
283,0,0,2,5
290,0,1,20,3
397,2,0,20,1
107,1,1,6,3
107,1,1,9,1
253,1,1,21,2
283,1,1,14,3
139,1,0,9,3
282,0,1,6,2
139,2,0,21,1
195,1,1,12,0
177,2,1,14,5
276,1,0,7,5
283,1,0,17,2
215,1,1,10,1
265,1,1,19,3
107,0,0,16,0
88,1,0,1,5
29,1,0,21,1
267,0,0,15,4
64,2,1,20,1
282,2,0,8,5
115,1,0,8,2
107,0,0,17,3
191,1,0,10,3
216,1,0,7,1
191,2,0,22,0
215,1,1,11,2
283,1,0,19,5
27,1,0,21,1
283,2,0,23,3
283,1,0,12,2
139,0,0,15,6
214,2,0,15,4
191,0,0,13,4
107,1,0,9,5
336,0,0,11,4
331,1,0,19,3
26,2,1,21,6
283,1,1,12,4
139,2,0,19,2
283,1,0,18,1
406,1,0,21,1
61,2,0,21,3
283,1,1,23,4
283,1,0,17,5
143,0,0,16,1
107,1,1,10,1
29,0,1,18,1
365,1,0,19,3
312,0,0,10,4
283,1,0,23,5
359,2,0,3,3
49,0,0,21,0
149,0,0,21,6
455,1,1,15,1
283,1,0,12,5
111,1,1,12,3
407,0,1,23,5
107,1,0,14,5
107,2,0,14,3
216,2,1,12,1
406,0,0,0,1
397,1,0,17,2
107,1,1,7,4
361,1,1,20,1
307,1,0,2,0
216,2,1,0,4
389,1,0,23,0
344,1,0,22,6
365,0,0,0,4
61,2,0,20,6
283,2,0,17,3
267,1,1,0,4
29,1,0,5,3
397,1,0,20,1
107,0,0,23,3
88,0,0,0,2
267,1,0,2,2
214,1,0,14,4
88,2,0,0,2
183,2,0,0,0
139,0,0,19,3
283,0,0,23,1
88,0,0,23,2
139,2,0,9,2
191,2,0,7,0
397,1,1,16,0
283,1,1,20,6
107,2,1,0,0
107,0,1,18,3
27,1,0,18,3
407,0,0,2,3
61,1,0,20,1
365,2,0,20,4
107,1,0,12,4
143,0,1,17,4
283,1,0,22,6
45,2,0,20,3
195,1,0,21,0
267,0,1,20,1
107,1,1,12,1
283,2,0,0,4
359,1,0,19,1
283,1,0,20,0
45,2,0,19,0
88,0,1,0,1
336,2,0,9,4
283,1,0,17,4
88,1,0,18,1
337,2,0,0,3
107,2,0,16,3
267,1,1,14,1
177,1,0,16,0
27,1,1,0,0
143,0,0,16,5
48,1,1,19,5
283,1,1,23,5
177,0,0,14,0
88,0,0,13,6
143,1,0,23,3
126,1,1,11,2
407,1,0,11,4
283,1,0,20,5
283,1,1,16,0
29,0,0,1,6
336,2,0,12,5
340,0,0,20,0
27,1,0,18,2
107,2,0,20,0
296,1,1,23,1
27,1,0,11,0
283,1,1,17,0
139,2,0,0,1
195,1,0,0,6
143,1,0,16,1
88,2,1,15,2
283,1,1,20,5
61,1,1,15,1
107,1,1,21,6
365,1,0,23,2
22,1,0,22,3
283,1,0,21,0
283,1,0,14,1
107,1,0,12,1
267,1,0,7,5
195,0,0,12,4
27,1,1,7,3
139,1,0,22,5
426,0,0,0,5
397,1,0,17,2
214,1,1,0,6
283,2,1,5,1
107,2,1,11,4
115,1,0,21,4
107,0,1,7,1
29,2,1,16,3
177,1,1,14,0
29,1,0,23,1
61,1,0,8,1
195,1,1,1,2
365,1,1,1,3
365,0,0,3,5
283,2,0,22,6
88,0,1,11,1
397,1,1,17,2
88,1,0,17,6
195,1,1,0,6
107,1,0,2,4
88,2,1,12,4
283,1,1,20,1
107,0,1,22,6
191,0,0,20,5
27,1,0,1,3
318,0,0,6,2
115,1,0,11,3
381,0,0,20,1
283,1,1,9,3
283,1,0,13,0
88,1,0,0,6
126,1,0,11,4
282,0,0,16,6
283,1,1,8,1
27,2,0,11,0
126,2,0,23,3
48,1,1,16,0
88,0,0,18,1
107,2,0,14,3
88,1,1,19,2
107,1,0,12,5
273,1,0,1,3
126,2,0,18,3
283,1,0,18,6
107,2,0,9,1
88,1,0,15,2
267,1,0,19,1
143,0,0,18,4
282,1,0,11,6
397,1,1,19,2
107,1,0,15,1
283,1,0,19,1
191,2,0,19,1
88,2,0,10,5
107,2,0,0,2
397,1,0,15,6
195,1,1,0,6
88,2,0,16,6
268,2,0,20,0
283,0,0,19,0
283,1,0,15,0
49,1,0,16,3
191,1,1,13,5
27,0,0,1,2
177,0,1,21,0
107,1,0,11,0
115,0,0,21,4
107,0,0,15,6
29,0,0,15,2
29,2,0,13,1
107,1,0,12,0
191,2,0,19,3
139,2,0,0,4
29,2,1,1,4
307,2,0,0,3
341,1,1,13,4
365,1,0,0,1
195,1,1,18,6
107,1,0,0,1
283,1,1,17,4
365,2,0,14,0
88,1,0,23,5
195,2,1,2,1
283,1,0,17,4
406,1,1,23,2
107,1,0,19,0
183,0,1,12,0
107,1,0,18,2
398,2,0,7,3
283,1,0,19,3
405,0,1,20,5
216,1,0,17,3
143,0,0,9,1
177,1,0,21,0
283,1,0,20,3
137,1,0,10,5
107,0,1,16,3
88,1,0,0,0
143,1,0,21,2
308,0,1,15,1
45,1,0,18,2
283,2,0,11,2
29,2,0,2,4
151,1,1,6,3
143,0,1,13,1
27,2,0,9,3
191,1,0,16,6
107,1,1,18,5
151,0,0,1,0
195,1,0,1,3
283,1,1,20,6
282,2,0,23,2
406,0,1,19,6
287,2,0,15,5
267,1,0,23,6
282,1,0,0,0
283,1,0,17,1
88,2,0,2,0
107,1,1,1,4
191,2,1,19,0
37,0,1,8,0
282,1,1,5,1
88,1,1,15,1
135,1,1,14,4
195,0,1,7,3
267,1,0,9,5
406,1,0,23,1
283,1,0,22,3
267,1,1,18,6
282,0,0,5,6
88,2,0,0,6
397,1,0,12,5
139,0,0,12,6
282,1,0,9,1
365,0,0,16,3
282,0,0,6,0
27,1,1,16,6
283,0,0,0,4
65,2,1,19,2
279,0,1,13,2
107,0,1,16,3
126,0,0,21,6
195,1,0,0,0
365,0,1,14,3
337,1,1,14,4
20,0,0,21,0
308,1,1,1,2
195,1,0,15,5
313,1,0,3,6
107,1,0,7,3
143,0,0,0,5
27,1,1,18,2
409,1,0,21,1
195,2,0,0,0
107,1,1,15,1
182,1,0,17,5
282,0,0,23,5
216,1,1,16,5
27,1,1,12,4
107,1,1,13,6
45,0,0,13,5
268,1,0,0,1
429,1,0,1,6
336,2,0,16,0
322,2,0,0,5
216,2,0,1,6
283,1,1,17,5
139,2,0,17,5
27,2,1,13,5
107,2,0,10,3
177,1,1,22,1
283,1,0,9,6
88,1,1,17,0
365,0,1,17,4
107,1,0,0,1
27,1,0,19,3
276,0,0,0,3
137,1,0,23,5
195,1,0,21,1
107,1,0,10,1
139,1,0,0,4
406,1,1,9,1
92,1,0,18,3
405,1,0,3,0
27,2,0,8,5
191,0,1,18,1
88,1,0,6,3
191,0,1,14,2
365,2,0,19,1
290,1,0,17,1
288,1,1,21,2
267,1,1,21,3
336,0,0,23,6
397,1,0,12,4
267,1,0,20,4
107,0,0,15,4
283,1,0,19,4
88,1,0,10,5
307,1,0,18,5
102,1,1,12,2
29,0,0,15,0
397,2,1,18,1
29,2,0,19,0
177,1,0,21,6
102,1,0,13,0
267,2,1,23,1
283,2,0,15,1
283,0,0,13,0
26,1,0,20,0
139,1,1,0,3
283,0,1,19,6
336,0,0,0,6
191,2,1,20,0
107,2,0,18,0
195,1,1,21,5
282,1,0,13,4
283,1,0,14,0
370,1,0,5,6
80,1,1,1,4
107,0,1,0,3
143,0,0,23,3
107,0,0,23,4
195,1,0,0,1
107,0,1,10,1
397,2,1,18,2
216,2,0,20,1
88,0,0,6,0
195,0,0,1,1
191,2,0,15,4
143,1,0,21,3
397,0,0,18,5
191,2,1,18,3
397,1,0,16,6
88,1,0,19,4
283,1,0,21,4
107,1,0,21,0
195,1,1,12,2
230,0,0,22,6
267,1,1,17,4
84,0,0,9,6
451,0,0,18,1
282,2,0,17,2
283,1,1,20,0
283,1,1,21,4
253,2,1,6,4
283,1,1,19,0
191,1,1,21,5
283,1,1,20,2
267,1,1,20,3
283,2,1,15,1
283,1,1,14,0
45,0,1,11,0
29,0,0,18,3
191,0,0,21,0
27,1,1,15,6
107,1,1,3,2
325,2,0,12,5
336,1,1,22,2
107,0,0,18,1
137,2,0,1,1
370,1,0,0,6
27,2,0,22,4
177,0,0,22,5
191,0,0,13,1
283,0,1,16,2
107,2,0,11,5
107,2,0,15,0
267,1,1,16,6
253,0,1,1,5
191,0,0,13,2
283,1,1,22,2
29,0,1,12,0
191,1,1,20,3
215,0,0,13,4
283,0,0,12,3
88,2,0,12,5
107,2,1,18,5
88,1,0,7,3
359,1,0,23,0
107,2,0,9,3
107,0,0,12,1
365,1,1,14,4
264,1,0,1,1
88,1,0,0,5
29,2,0,21,0
107,1,1,19,5
282,0,0,13,4
338,1,0,10,6
177,2,0,23,2
267,0,1,7,1
215,1,0,15,6
107,2,0,15,2
29,1,0,6,2
279,0,0,0,1
88,0,1,15,0
276,2,1,8,1
107,1,0,13,4
88,1,1,0,3
27,1,0,16,5
214,2,0,1,0
107,1,1,16,5
279,0,0,12,1
143,1,0,23,2
283,0,0,10,0
370,2,0,10,3
27,1,1,18,4
88,0,0,0,0
107,1,0,21,6
365,1,0,19,1
195,0,0,22,3
93,2,0,2,1
267,2,0,1,0
199,0,1,17,5
267,1,0,23,4
64,0,1,8,1
29,0,0,19,1
429,1,0,13,5
191,1,1,14,4
216,1,1,18,5
283,1,1,16,6
283,0,1,9,3
191,2,0,6,1
137,0,0,18,6
331,2,0,14,5
336,0,1,17,0
276,1,0,5,5
282,1,1,21,3
88,1,0,12,2
283,1,1,22,5
145,2,0,13,6
321,1,1,11,5
283,1,0,4,0
195,2,1,19,4
107,1,0,8,0
48,1,0,9,5
195,1,1,12,3
267,1,0,17,5
107,2,0,15,1
107,1,0,1,5
282,1,1,10,5
283,1,0,17,2
107,1,1,21,0
216,2,0,22,2
397,2,1,19,4
27,1,0,0,3
216,0,0,20,5
143,1,1,18,4
283,1,1,5,0
216,2,0,9,5
107,0,0,13,2
107,0,0,22,4
27,0,0,0,5
139,0,1,21,0
111,2,0,2,6
195,1,1,8,3
88,2,1,8,0
283,1,0,21,4
88,0,1,10,3
107,0,0,12,0
405,1,0,1,1
45,2,0,17,3
267,0,1,4,3
195,1,1,17,5
365,0,1,19,6
191,2,0,21,5
429,2,1,9,5
107,0,0,7,1
191,1,0,19,0
107,1,1,20,2
27,2,0,15,6
107,2,1,7,2
107,1,0,0,3
397,1,1,17,3
390,2,1,11,5
283,1,0,18,0
177,1,0,22,1
365,1,0,23,0
265,0,0,21,0
283,2,0,17,6
107,2,0,4,5
137,0,1,11,4
137,0,1,12,3
365,2,0,19,3
107,1,0,7,3
370,1,1,22,0
107,1,1,9,5
88,0,0,19,5
214,1,1,21,6
88,2,0,15,3
107,1,0,15,4
107,2,0,17,2
107,1,0,16,2
267,2,1,2,1
61,2,0,13,4
276,0,1,23,0
88,0,0,8,6
88,2,1,16,3
107,2,0,12,6
283,1,0,2,1
283,1,0,14,3
88,1,1,4,5
406,1,0,2,6
29,0,1,19,1
336,2,0,1,6
397,1,0,20,0
139,1,1,14,0
283,1,0,21,1
177,1,0,23,3
107,1,1,14,5
27,2,0,1,3
88,2,0,1,5
101,1,0,0,3
139,2,0,13,1
279,2,0,12,4
282,1,0,10,4
145,1,1,15,0
27,1,0,6,1
365,0,0,21,4
107,0,0,8,3
283,2,0,19,0
107,2,0,12,0
29,1,0,0,0
45,0,0,21,3
126,1,0,20,0
107,1,0,21,3
107,2,0,16,3
282,1,1,0,6
216,1,1,9,5
283,1,0,20,5
88,1,0,22,0
271,1,1,14,4
107,0,1,9,0
27,1,0,21,3
283,1,1,20,2
177,0,0,12,3
365,1,0,1,3
88,1,0,18,1
365,1,1,15,2
283,1,1,21,2
139,2,0,16,3
397,1,0,18,6
27,1,1,23,0
115,0,0,15,4
365,1,1,15,6
214,2,0,17,4
283,1,0,21,6
107,0,0,11,5
191,0,0,20,6
283,0,0,21,3
283,1,0,17,2
20,1,0,19,5
88,1,0,15,6
283,1,0,4,3
363,1,1,11,6
282,1,1,20,5
107,1,1,7,1
283,1,0,0,2
29,2,0,20,1
137,0,1,23,4
332,1,0,1,1
107,2,1,18,0
